"id","help_text","code","field_type","description","parent_id/id","required","report_id/id"
"joppd-a_VI36","Zbroj stupca 12.8. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0001-0039, 5001-5009 i 5402. ","VI.3.6","decimalni iznos","Ukupan iznos posebnog doprinosa za korištenje zdravstvene zaštite u inozemstvu","joppd-a_VI3","False","joppd-a"
"joppd-a_VI37","Zbroj stupca 12.3. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 0101-0119.","VI.3.7","decimalni iznos","Ukupan iznos dodatnog doprinosa za zdravstveno osiguranje  za obveznike po osnovi korisnika mirovina","joppd-a_VI3","False","joppd-a"
"joppd-a_VI38","Zbroj stupca 12.3. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 5401, 5403, 5601, 5602, 5603, 5605, 5608.","VI.3.8","decimalni iznos","Ukupan iznos doprinosa za zdravstveno osiguranje - za osiguranike za koje se doprinos uplaćuje prema posebnim propisima","joppd-a_VI3","False","joppd-a"
"joppd-a_VI39","Zbroj stupca 12.4. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 5401, 5403, 5608.","VI.3.9","decimalni iznos","Ukupan iznos doprinosa za zaštitu zdravlja na radu - za osiguranike za koje se doprinos uplaćuje prema posebnim propisima","joppd-a_VI3","False","joppd-a"
"joppd-a_VI310","Zbroj stupca 12.4. sa stranice B Obrasca JOPPD pod oznakom stjecatelja primitka/osiguranika iz Priloga 2. Stjecatelj primitka/osiguranik: 5302, 5501, 5604, 5606, 5607.","VI.3.10","decimalni iznos","Ukupan iznos posebnog doprinosa za zaštitu zdravlja na radu - za osobe osigurane u određenim okolnostima","joppd-a_VI3","False","joppd-a"
"joppd-a_VI311","","VI.3.11","decimalni iznos","Ukupan iznos doprinosa za zdravstveno osiguranje po osnovi obavljanja samostalne djelatnosti za osobe koje su same za sebe obvezne obraćunati doprinose","joppd-a_VI3","False","joppd-a"
"joppd-a_VI312","","VI.3.12","decimalni iznos","Ukupan iznos doprinosa za zaštitu zdravlja na radu po osnovi obavljanja samostalne djelatnosti za osobe koje su same za sebe obvezne obraćunati doprinose","joppd-a_VI3","False","joppd-a"
"joppd-a_VI4","","VI.4","view","DOPRINOS ZA ZAPOŠLJAVANJE","","False","joppd-a"
"joppd-a_VI41","Zbroj stupca 12.5. sa stranice B Obrasca JOPPD.","VI.4.1","decimalni iznos","Ukupan iznos doprinosa za zapošljavanje","joppd-a_VI4","False","joppd-a"
"joppd-a_VI42","Ukupan iznos posebnog doprinosa za zapošljavanje osoba s invaliditetom-zbroj stupca 12.9. sa stranice B Obrasca JOPPD.","VI.4.2","decimalni iznos","Ukupan iznos posebnog doprinosa za zapošljavanje osoba s invaliditetom","joppd-a_VI4","False","joppd-a"
